,Test,p-value
logarithm_glszm_LargeAreaEmphasis,Kruskal-Wallis,8.037943314601245e-170
wavelet2-LL_glszm_LowGrayLevelZoneEmphasis,Kruskal-Wallis,9.367622461442128e-170
log-sigma-0-6-mm-3D_firstorder_Uniformity,Kruskal-Wallis,1.819074328690303e-169
squareroot_glcm_MaximumProbability,Kruskal-Wallis,8.314045320724472e-169
wavelet-LH_firstorder_Kurtosis,Kruskal-Wallis,1.6072254711495508e-168
logarithm_glcm_MaximumProbability,Kruskal-Wallis,2.5241364313237207e-168
squareroot_glszm_ZoneVariance,Kruskal-Wallis,2.808969436016226e-168
logarithm_glszm_ZoneVariance,Kruskal-Wallis,8.530137989912629e-168
log-sigma-0-6-mm-3D_firstorder_Skewness,Kruskal-Wallis,1.7347701380718085e-165
wavelet-LH_glrlm_RunEntropy,Kruskal-Wallis,1.0958588624601338e-164
logarithm_glrlm_LowGrayLevelRunEmphasis,Kruskal-Wallis,1.2178322769895382e-164
log-sigma-2-mm-3D_glrlm_HighGrayLevelRunEmphasis,Kruskal-Wallis,9.804143772260363e-163
square_glcm_ClusterShade,Kruskal-Wallis,1.4268039834609412e-162
